codec,channels,srate,duration,format,pushed,received,loss_pct,throughput,data_rate_mb,rtt_us,lat_min_us,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
none,64,2000,3,float32,6000,6000,0.00,2000,0.51,75,35.9,51.4,52.6,62.2,79.3,399.6
lz4,64,2000,3,float32,6000,6000,0.00,2000,0.51,80,32.3,51.8,51.8,65.8,82.5,360.6
zstd,64,2000,3,float32,6000,6000,0.00,2000,0.51,74,41.3,57.7,56.0,71.8,100.2,410.6
zstd3,64,2000,3,float32,6000,6000,0.00,2000,0.51,73,42.2,60.4,58.2,75.1,104.6,350.7
snappy,64,2000,3,float32,6000,6000,0.00,2000,0.51,76,36.7,52.5,52.7,65.0,75.5,194.0
delta-lz4,64,2000,3,float32,6000,6000,0.00,2000,0.51,76,33.5,51.6,51.7,64.4,83.9,218.2
none,1,1000,3,float32,3000,3000,0.00,1000,0.00,74,37.7,55.0,54.4,64.7,88.7,283.5
none,4,1000,3,float32,3000,3000,0.00,1000,0.02,80,37.5,54.2,53.5,64.3,92.6,477.5
none,8,1000,3,float32,3000,3000,0.00,1000,0.03,79,38.7,54.9,54.2,67.5,90.8,194.1
none,16,1000,3,float32,3000,3000,0.00,1000,0.06,75,32.9,54.6,54.3,65.6,93.9,293.9
none,32,1000,3,float32,3000,3000,0.00,1000,0.13,73,36.8,55.0,54.5,67.2,91.3,237.3
none,64,1000,3,float32,3000,3000,0.00,1000,0.26,85,36.6,56.8,56.5,70.0,87.3,172.2
none,128,1000,3,float32,3000,3000,0.00,1000,0.51,73,33.8,56.1,55.9,71.4,85.3,209.6
none,256,1000,3,float32,3000,3000,0.00,1000,1.02,78,34.0,57.8,56.6,71.5,114.5,445.1
none,8,100,3,float32,300,300,0.00,100,0.00,1156,41.3,66.4,61.7,97.7,137.0,170.6
none,8,250,3,float32,750,750,0.00,250,0.01,337,36.5,53.1,50.6,71.9,93.4,194.7
none,8,500,3,float32,1500,1500,0.00,500,0.02,403,37.1,49.0,47.2,60.0,81.9,190.6
none,8,1000,3,float32,3000,3000,0.00,1000,0.03,81,36.5,53.5,53.0,63.9,96.3,214.5
none,8,2000,3,float32,6000,6000,0.00,2000,0.06,77,36.1,51.7,52.9,62.0,79.2,234.6
none,8,5000,3,float32,15000,15000,0.00,5000,0.16,76,35.2,50.9,53.0,61.0,80.5,194.5
none,8,10000,3,float32,30000,30000,0.00,10000,0.32,79,28.4,52.8,53.7,63.5,83.2,557.6
none,32,1000,3,float32,3000,3000,0.00,1000,0.13,79,32.8,53.5,53.5,65.8,87.7,233.3
none,32,1000,3,double64,3000,3000,0.00,1000,0.26,72,34.8,54.5,54.6,66.2,85.8,197.1
none,32,1000,3,int32,3000,3000,0.00,1000,0.13,74,37.4,53.2,52.9,63.6,83.0,167.6
none,32,1000,3,int16,3000,3000,0.00,1000,0.06,67,33.1,54.0,54.2,67.2,93.8,270.1
none,32,1000,3,int8,3000,3000,0.00,1000,0.03,73,37.5,54.5,53.8,65.0,92.3,371.9
none,32,1000,3,int64,3000,3000,0.00,1000,0.26,87,37.9,56.0,55.7,66.5,93.5,208.0
none,256,10000,3,float32,30000,30000,0.00,10000,10.24,73,26.9,52.7,52.4,64.4,99.2,433.5
lz4,256,10000,3,float32,30000,30000,0.00,10000,10.24,79,27.5,54.8,52.1,66.9,100.2,2335.8
zstd,256,10000,3,float32,30000,30000,0.00,10000,10.24,82,36.6,66.7,65.8,78.3,112.8,801.2
zstd3,256,10000,3,float32,30000,30000,0.00,10000,10.24,77,40.0,65.6,65.5,77.7,90.6,276.0
snappy,256,10000,3,float32,30000,30000,0.00,10000,10.24,74,28.7,54.0,52.3,68.3,107.2,681.3
delta-lz4,256,10000,3,float32,30000,30000,0.00,10000,10.24,72,28.3,54.9,53.9,69.0,87.9,243.0
none,8,2000,3,float32,6000,6000,0.00,2000,0.06,78,36.6,52.7,53.7,65.2,77.3,209.0
delta-lz4,8,2000,3,float32,6000,6000,0.00,2000,0.06,77,31.8,51.2,52.0,64.9,76.3,358.1
none,32,2000,3,float32,6000,6000,0.00,2000,0.26,81,36.5,53.2,53.9,65.9,80.5,344.0
delta-lz4,32,2000,3,float32,6000,6000,0.00,2000,0.26,74,31.9,52.5,52.3,67.2,89.4,463.9
none,64,2000,3,float32,6000,6000,0.00,2000,0.51,76,36.1,51.9,52.8,64.7,77.1,222.1
delta-lz4,64,2000,3,float32,6000,6000,0.00,2000,0.51,74,34.5,52.5,52.3,66.3,79.6,219.8
none,128,2000,3,float32,6000,6000,0.00,2000,1.02,75,35.5,51.9,52.6,65.1,75.0,229.6
delta-lz4,128,2000,3,float32,6000,6000,0.00,2000,1.02,75,36.8,53.4,53.1,66.5,81.0,218.0
none,256,2000,3,float32,6000,6000,0.00,2000,2.05,76,34.3,52.4,52.8,65.6,74.8,234.4
delta-lz4,256,2000,3,float32,6000,6000,0.00,2000,2.05,74,34.4,54.2,54.8,66.2,78.3,418.5
